structure,data_size,operation,mean_time,std_time,mean_memory,std_memory,mean_iterations,std_iterations,avg_cpu_percent,avg_memory_usage_mb,avg_peak_memory_mb,hash_table_size,hash_function,avg_load_factor,avg_collision_rate,avg_chain_length,max_chain_length,balanced,avg_height
HashTable,5000,search,9.076316806022079e-06,9.389157240539474e-07,0.0,0.0,3.4357999999999995,0.03914792459377637,0.1,0.0,7.038116455078125e-07,5000,folding,0,0,0,0,,
LinearArray,10000,insert,0.007266300008632242,0.002173667023023698,0.003125,0.006250000000000001,10000.0,0.0,0.1,0.003125,0.08128814697265625,,,,,,,,
LinearArray,10000,search,0.0011482306333840825,5.707424931695961e-06,-0.000284375,0.00056875,4974.141,31.728977739599625,0.0,-0.000284375,2.1362304687500003e-07,,,,,,,,
BST,10000,insert,0.05642686639912427,0.01487904587296173,0.44375,0.45345892868042637,159813.8,5531.556648900922,0.0,0.44375,0.8393707275390625,,,,,,,False,31.4
BST,10000,search,5.460908624809235e-06,1.2029433076749695e-06,0.0,0.0,17.026000000000003,0.3851768425022461,0.06000000000000001,0.0,1.0681152343750002e-07,,,,,,,False,0
AVL,10000,insert,0.17470134982140734,0.010839509817326119,0.075,0.10569709078304851,138160.0,270.1636541061732,0.02,0.075,0.9156997680664063,,,,,,,True,16.0
AVL,10000,search,4.907816392369568e-06,1.7650769599783272e-07,0.0,0.0,12.607800000000001,0.04989348654884714,0.1,0.0,1.0681152343750002e-07,,,,,,,True,0
HashTable,10000,insert,0.06106508380034938,0.00737412605150864,-0.03125,0.0625,510671.0,0.0,0.04,-0.03125,0.0828704833984375,100,division,100.0,0.99,100.0,125.0,,
HashTable,10000,search,5.333008395973594e-06,1.2145497237715016e-06,0.0,0.0,51.5354,0.721962769123172,0.08,0.0,1.220703125e-07,100,division,0,0,0,0,,
HashTable,10000,insert,0.05821469179354608,0.011157986986480295,0.0,0.0,510340.0,0.0,0.02,0.0,0.083587646484375,100,multiplication,100.0,0.99,100.0,130.0,,
HashTable,10000,search,5.5905002052895725e-06,1.3198447472162804e-06,0.0,0.0,51.974199999999996,0.7063110929328521,0.1,0.0,1.220703125e-07,100,multiplication,0,0,0,0,,
HashTable,10000,insert,0.10798900842200965,0.01448468681355741,0.0,0.0,510663.0,0.0,0.0,0.0,0.08358955383300781,100,folding,100.0,0.99,100.0,137.0,,
HashTable,10000,search,1.1587891599629075e-05,2.7390899732939197e-06,0.0,0.0,52.95739999999999,1.1339724158902622,0.06000000000000001,0.0,7.038116455078125e-07,100,folding,0,0,0,0,,
HashTable,10000,insert,0.04299412500113249,0.008550796829652232,0.0,0.0,59831.0,0.0,0.1,0.0,0.103546142578125,1000,division,10.0,0.9,10.0,25.0,,
HashTable,10000,search,5.4017668124288324e-06,1.8130782806942109e-06,0.0,0.0,7.034400000000001,0.06912770790356061,0.1,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,10000,insert,0.05058968339581042,0.0036017201438207857,0.0,0.0,59984.0,0.0,0.06000000000000001,0.0,0.1026458740234375,1000,multiplication,10.0,0.9,10.0,20.0,,
HashTable,10000,search,5.630224803462624e-06,1.308831623235309e-06,0.0,0.0,7.043000000000001,0.06375892094444523,0.08,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
HashTable,10000,insert,0.10139884179225192,0.010442345741857002,0.0,0.0,60284.0,0.0,0.04,0.0,0.10260200500488281,1000,folding,10.0,0.9,10.0,26.0,,
HashTable,10000,search,1.300795819843188e-05,5.880261819854953e-07,0.0,0.0,7.08,0.10353163767660578,0.1,0.0,7.038116455078125e-07,1000,folding,0,0,0,0,,
HashTable,10000,insert,0.043225000181701036,0.0036825303130764353,0.015625,0.024206145913796356,19936.0,0.0,0.08,0.015625,0.140472412109375,5000,division,2.0,0.567,2.3094688221709005,10.0,,
HashTable,10000,search,4.981150000821799e-06,9.167453477412055e-07,0.0,0.0,2.9656,0.02463006293130408,0.1,0.0,1.52587890625e-07,5000,division,0,0,0,0,,
HashTable,10000,insert,0.048606433207169175,0.007219793222212332,0.0,0.0,19985.0,0.0,0.06000000000000001,0.0,0.140289306640625,5000,multiplication,2.0,0.568,2.314814814814815,8.0,,
HashTable,10000,search,5.6589582003653045e-06,5.668821045019605e-07,0.0,0.0,3.0021999999999998,0.04222037422856406,0.1,0.0,1.52587890625e-07,5000,multiplication,0,0,0,0,,
HashTable,10000,insert,0.10182940022787079,0.01356046211557969,0.0,0.0,38666.0,0.0,0.04,0.0,0.11322212219238281,5000,folding,2.0,0.7838,4.6253469010175765,19.0,,
HashTable,10000,search,1.2664299819152803e-05,5.844271788126806e-07,0.0,0.0,4.8732,0.11907207901099238,0.08,0.0,7.038116455078125e-07,5000,folding,0,0,0,0,,
