structure,data_size,operation,mean_time,std_time,mean_memory,std_memory,mean_iterations,std_iterations,avg_cpu_percent,avg_memory_usage_mb,avg_peak_memory_mb,hash_table_size,hash_function,avg_load_factor,avg_collision_rate,avg_chain_length,max_chain_length,balanced,avg_height
BST,100000,insert,0.4577560332021676,0.010257614803847926,5.584375,2.0918508177568493,2011410.8,76534.8915447066,0.0,5.584375,8.39251708984375,,,,,,,False,40.2
BST,100000,search,8.418341400101782e-06,1.9442444375323057e-07,0.0,0.0,21.107,0.7022814250711752,0.1,0.0,1.0681152343750002e-07,,,,,,,False,0
AVL,100000,insert,1.85215163360117,0.06443929111251634,2.625,1.626201478907211,1719392.0,2982.815917886989,0.06000000000000001,2.625,9.155525207519531,,,,,,,True,20.0
AVL,100000,search,7.0838000043295325e-06,3.549570407856983e-08,0.0,0.0,15.9274,0.07440591374346565,0.1,0.0,1.0681152343750002e-07,,,,,,,True,0
HashTable,100000,insert,12.101680741796736,0.2710341184491364,-0.634375,1.5718346167774777,50109552.0,0.0,0.04,-0.634375,0.821929931640625,100,division,1000.0,0.999,1000.0,1097.0,,
HashTable,100000,search,0.00012073252499103545,1.5822574705798594e-06,0.0,0.0,499.0568,6.7405408507033036,0.02,0.0,2.1362304687500003e-07,100,division,0,0,0,0,,
HashTable,100000,insert,12.123788491403683,0.2913989810227103,0.203125,0.40625,50102670.0,0.0,0.0,0.203125,0.820098876953125,100,multiplication,1000.0,0.999,1000.0,1122.0,,
HashTable,100000,search,0.00012217509979382156,3.4273249815826596e-06,0.0,0.0,505.6752,6.212906804387133,0.0,0.0,2.1362304687500003e-07,100,multiplication,0,0,0,0,,
HashTable,100000,insert,13.651615291810595,0.21228202290605452,-4.3,9.546792655127689,50112030.0,0.0,0.02,-4.3,0.8204975128173828,100,folding,1000.0,0.999,1000.0,1068.0,,
HashTable,100000,search,0.00013396454179892314,6.651429661856788e-06,0.0,0.0,499.85740000000004,13.586522683895247,0.02,0.0,7.343292236328125e-07,100,folding,0,0,0,0,,
HashTable,100000,insert,0.5760670750052668,0.11847789295806305,0.0625,0.09682458365518543,5103061.0,0.0,0.0,0.0625,0.8242645263671875,1000,division,100.0,0.99,100.0,131.0,,
HashTable,100000,search,9.34236659668386e-06,9.68060309926624e-07,0.0,0.0,51.9048,0.8110672968379384,0.06000000000000001,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,100000,insert,0.4947721667937003,0.02354510505416326,0.49375,0.20743033469095112,5099864.0,0.0,0.0,0.49375,0.82568359375,1000,multiplication,100.0,0.99,100.0,140.0,,
HashTable,100000,search,9.704041806980967e-06,1.731958522630573e-06,0.0,0.0,51.9504,0.5747930410156324,0.06000000000000001,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
HashTable,100000,insert,1.0084708997863345,0.08474441140824687,0.1125,0.17550151352623716,5099797.0,0.0,0.04,0.1125,0.8258991241455078,1000,folding,100.0,0.99,100.0,130.0,,
HashTable,100000,search,1.8252474593464287e-05,1.929791169481459e-06,0.0,0.0,52.1548,1.0773780023742836,0.06000000000000001,0.0,7.038116455078125e-07,1000,folding,0,0,0,0,,
HashTable,100000,insert,0.3360522997914813,0.057995652575283066,0.040625,0.08125,1102378.0,0.0,0.02,0.040625,0.897186279296875,5000,division,20.0,0.95,20.0,39.0,,
HashTable,100000,search,4.401216586120426e-06,7.73338101288185e-07,0.0,0.0,11.9988,0.1792488772628719,0.06000000000000001,0.0,1.52587890625e-07,5000,division,0,0,0,0,,
HashTable,100000,insert,0.3377891582087614,0.016620617950436168,0.18125,0.27838821814150105,1099643.0,0.0,0.02,0.18125,0.895721435546875,5000,multiplication,20.0,0.95,20.0,37.0,,
HashTable,100000,search,5.1649581990204755e-06,5.132299748298694e-07,0.0,0.0,12.0308,0.2090276536729055,0.02,0.0,1.52587890625e-07,5000,multiplication,0,0,0,0,,
HashTable,100000,insert,1.023031616793014,0.04972480310548446,0.01875,0.0375,2945912.0,0.0,0.0,0.01875,0.8517780303955078,5000,folding,20.0,0.97338,37.56574004507889,98.0,,
HashTable,100000,search,1.2838833394926042e-05,2.0702074073201488e-06,0.0,0.0,30.284799999999997,0.3934266894861096,0.0,0.0,7.038116455078125e-07,5000,folding,0,0,0,0,,
